,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max_Temp,Wind_Speed
0,Okha,37,RU,1579548416,96,53.57,142.95,-6.93,9.4
1,Hobart,75,AU,1579548416,71,-42.88,147.33,57.2,10.29
2,Bredasdorp,99,ZA,1579548375,88,-34.53,20.04,64.99,16.11
3,Henties Bay,0,NA,1579548417,86,-22.12,14.28,66.99,7.0
4,Mataura,94,NZ,1579548417,96,-46.19,168.86,57.0,1.99
5,George Town,20,MY,1579548273,78,5.41,100.34,84.2,4.7
6,Tura,0,IN,1579548417,60,25.52,90.22,55.69,1.63
7,Rikitea,81,PF,1579548417,79,-23.12,-134.97,77.47,11.5
8,Esperance,8,AU,1579548417,72,-33.87,121.9,60.8,8.05
9,Ouesso,79,CG,1579548417,41,1.61,16.05,83.84,1.99
10,Ribeira Grande,40,PT,1579548417,87,38.52,-28.7,60.8,28.86
11,Busselton,21,AU,1579548417,52,-33.65,115.33,62.01,10.29
12,Saint Anthony,1,US,1579548417,66,45.02,-93.22,19.4,2.59
13,Butaritari,100,KI,1579548417,69,3.07,172.79,84.52,5.99
14,Bairiki Village,75,KI,1579548417,88,1.33,172.98,80.6,1.12
15,Punta Arenas,90,CL,1579548418,58,-53.15,-70.92,59.0,11.41
16,Albany,1,US,1579548373,41,42.6,-73.97,25.0,12.75
17,Kavieng,45,PG,1579548418,79,-2.57,150.8,83.16,13.71
18,Verkhnyaya Inta,69,RU,1579548418,97,65.98,60.31,-3.51,7.45
19,Ahipara,11,NZ,1579548418,100,-35.17,173.17,64.0,1.01
20,Carnarvon,0,AU,1579548418,83,-24.87,113.63,73.4,20.8
21,Bluff,77,NZ,1579548418,96,-46.6,168.33,57.0,1.99
22,Yaan,0,NG,1579548418,20,7.38,8.57,88.43,4.21
23,Tuatapere,95,NZ,1579548418,96,-46.13,167.68,57.0,1.99
24,Kjollefjord,75,NO,1579548419,80,70.95,27.35,35.6,19.46
25,Conneaut,90,US,1579548419,62,41.95,-80.55,26.01,9.17
26,Coquimbo,20,CL,1579548419,72,-29.95,-71.34,68.0,14.99
27,Yelatma,99,RU,1579548419,97,54.97,41.75,32.58,9.48
28,Vaini,20,TO,1579548419,69,-21.2,-175.2,78.8,11.41
29,Tuktoyaktuk,20,CA,1579548419,74,69.45,-133.04,-23.8,6.93
30,Grand Forks,1,US,1579548252,84,47.93,-97.03,1.0,11.41
31,Jamestown,1,US,1579548392,53,42.1,-79.24,24.8,10.29
32,Plainview,1,US,1579548337,26,40.78,-73.47,33.01,16.11
33,Abaujszanto,75,HU,1579548419,80,48.28,21.2,34.0,4.7
34,Odienne,37,CI,1579548419,16,9.51,-7.57,89.56,3.96
35,Kapaa,90,US,1579548420,78,22.08,-159.32,73.4,13.87
36,Hasaki,20,JP,1579548420,60,35.73,140.83,35.6,4.7
37,Klaksvik,68,FO,1579548420,70,62.23,-6.59,42.8,23.04
38,Buala,9,SB,1579548420,79,-8.14,159.59,79.36,6.08
39,Faanui,100,PF,1579548420,76,-16.48,-151.75,81.07,10.4
40,Thompson,75,CA,1579548420,71,55.74,-97.86,8.6,12.75
41,Lithakia,20,GR,1579548421,75,37.72,20.83,50.0,6.93
42,Aleksandrov Gay,100,RU,1579548421,93,50.15,48.57,26.37,11.52
43,Mahon,75,ES,1579548421,87,39.89,4.27,55.4,21.92
44,Luderitz,2,NA,1579548421,77,-26.65,15.16,68.0,8.05
45,Santa Maria,20,BR,1579548343,63,-29.68,-53.81,91.4,5.82
46,Hermanus,18,ZA,1579548422,89,-34.42,19.23,70.0,10.0
47,Ushuaia,40,AR,1579548422,62,-54.8,-68.3,55.4,19.46
48,Salinopolis,55,BR,1579548422,78,-0.61,-47.36,82.04,17.83
49,Fairbanks,1,US,1579548164,74,64.84,-147.72,-9.99,2.98
50,Adrar,0,MR,1579548422,16,20.5,-10.07,67.08,2.82
51,Mukhen,89,RU,1579548423,94,48.1,136.1,-3.26,4.92
52,Svebolle,47,DK,1579548423,100,55.65,11.29,44.01,9.17
53,Marigot,40,MF,1579548423,69,18.07,-63.08,82.4,11.41
54,Big Rapids,90,US,1579548423,58,43.7,-85.48,27.0,9.17
55,Cherskiy,100,RU,1579548424,98,68.75,161.3,-23.82,5.5
56,Andros Town,75,BS,1579548424,57,24.7,-77.77,80.6,8.05
57,Laguna,20,US,1579548424,93,38.42,-121.42,57.0,5.82
58,Coahuayana Viejo,20,MX,1579548424,42,18.73,-103.68,86.0,11.41
59,Mandalgovi,20,MN,1579548424,77,45.76,106.27,8.33,9.8
60,Ilembula,75,TZ,1579548424,93,-8.9,34.58,64.09,1.63
61,Grand Gaube,40,MU,1579548425,83,-20.01,57.66,81.0,3.36
62,Yarada,40,IN,1579548425,88,17.65,83.27,75.2,2.24
63,Gondanglegi,100,ID,1579548425,85,-7.75,112.01,75.02,1.48
64,Pospelikha,96,RU,1579548425,93,51.95,81.77,-2.56,3.2
65,Ambilobe,100,MG,1579548425,88,-13.2,49.05,79.57,7.7
66,Puerto Ayora,40,EC,1579548425,74,-0.74,-90.35,82.4,10.29
67,Rast,0,RO,1579548425,86,43.88,23.28,33.01,8.05
68,Pangnirtung,20,CA,1579548425,51,66.15,-65.71,-13.0,7.47
69,Alta Floresta,40,BR,1579548426,78,-9.88,-56.09,82.4,3.36
70,Hithadhoo,88,MV,1579548426,77,-0.6,73.08,84.04,12.1
71,Cape Town,20,ZA,1579548283,68,-33.93,18.42,72.0,10.29
72,Cabedelo,40,BR,1579548426,51,-6.98,-34.83,86.0,16.11
73,Lompoc,90,US,1579548398,71,34.64,-120.46,62.01,4.7
74,Provideniya,40,RU,1579548426,78,64.38,-173.3,8.6,6.71
75,Storforshei,75,NO,1579548426,81,66.4,14.52,42.8,21.92
76,Tuy Hoa,98,VN,1579548426,79,13.08,109.3,76.06,14.47
77,Port Elizabeth,97,ZA,1579548426,77,-33.92,25.57,68.0,16.11
78,Ixtapa,5,MX,1579548394,78,20.7,-105.2,81.0,6.93
79,Yonibana,79,SL,1579548426,28,8.44,-12.24,91.09,1.14
80,Atuona,66,PF,1579548426,73,-9.8,-139.03,80.24,11.83
81,Torbay,90,CA,1579548427,92,47.67,-52.73,30.99,5.82
82,Tobane,90,BW,1579548427,88,-21.95,27.9,71.6,10.29
83,Yellowknife,40,CA,1579548427,83,62.46,-114.35,-14.01,3.36
84,Te Anau,90,NZ,1579548427,93,-45.42,167.72,54.81,1.03
85,Fort Nelson,90,CA,1579548427,76,58.81,-122.7,-9.4,2.24
86,Pagudpud,20,PH,1579548427,94,18.56,120.79,68.0,5.06
87,Barrancas,75,CO,1579548427,69,10.96,-72.79,82.4,17.22
88,Griffith,90,US,1579548427,85,41.53,-87.42,30.99,4.81
89,Ostrovnoy,100,RU,1579548427,89,68.05,39.51,19.51,24.72
90,Asau,75,RO,1579548427,90,46.43,26.4,32.0,12.75
91,San Francisco,90,US,1579548237,76,37.77,-122.42,54.0,4.7
92,Nikolskoye,90,RU,1579548428,86,59.7,30.79,37.99,8.95
93,Forio,75,IT,1579548428,49,40.73,13.86,52.0,18.34
94,Lebu,0,CL,1579548428,40,-37.62,-73.65,72.09,10.0
95,Batonyterenye,0,HU,1579548428,94,47.97,19.84,30.99,2.08
96,Kavaratti,85,IN,1579548428,74,10.57,72.64,82.31,6.91
97,Port Alfred,94,ZA,1579548360,88,-33.59,26.89,63.0,5.99
98,Angra dos Reis,75,BR,1579548428,61,-23.01,-44.32,80.6,11.41
99,Kodiak,1,US,1579548428,72,57.79,-152.41,14.0,8.05
100,Vikulovo,13,RU,1579548428,94,56.82,70.61,-5.17,5.17
101,Bubaque,87,GW,1579548428,60,11.28,-15.83,77.72,9.66
102,Norman Wells,20,CA,1579548429,75,65.28,-126.83,-16.6,3.36
103,Faya,5,SA,1579548429,93,18.39,42.45,55.4,5.82
104,Castro,36,BR,1579548244,43,-24.79,-50.01,82.38,4.83
105,Saskylakh,26,RU,1579548429,90,71.92,114.08,-31.83,5.53
106,Kawalu,100,ID,1579548429,90,-7.38,108.21,71.62,1.07
107,Tailai,0,CN,1579548429,75,46.38,123.4,-0.45,7.81
108,Ouahigouya,17,BF,1579548429,16,13.58,-2.42,75.07,2.06
109,Okhotsk,0,RU,1579548429,68,59.38,143.3,-20.27,7.58
110,Aberdeen,17,GB,1579548306,86,57.14,-2.1,48.0,10.29
111,Esik,90,KZ,1579548429,100,43.36,77.45,17.6,2.24
112,Chicama,20,PE,1579548430,73,-7.84,-79.15,75.2,11.41
113,Karratha,2,AU,1579548430,79,-20.74,116.85,84.34,8.95
114,Bundaberg,100,AU,1579548430,83,-24.85,152.35,81.0,8.05
115,Upington,0,ZA,1579548430,20,-28.45,21.26,86.0,8.05
116,Urucui,93,BR,1579548430,70,-7.23,-44.56,84.4,5.17
117,Manokwari,49,ID,1579548412,67,-0.87,134.08,73.18,5.91
118,Honolulu,75,US,1579548183,78,21.31,-157.86,75.2,10.29
119,Tolaga Bay,99,NZ,1579548430,81,-38.37,178.3,63.41,11.86
120,Cidreira,19,BR,1579548430,83,-30.18,-50.21,76.6,20.6
121,Port Lincoln,17,AU,1579548430,76,-34.73,135.87,59.05,5.41
122,Mar del Plata,40,AR,1579548431,78,-38.0,-57.56,71.6,18.34
123,Arraial do Cabo,75,BR,1579548431,69,-22.97,-42.03,80.6,13.87
124,Sterling,1,US,1579548138,36,39.01,-77.43,35.6,14.99
125,Souillac,40,MU,1579548431,83,-20.52,57.52,81.0,3.36
126,Panukulan,11,PH,1579548431,81,14.93,121.81,74.88,13.35
127,Novoagansk,72,RU,1579548431,90,61.94,76.66,-3.59,14.41
128,Arona,75,ES,1579548431,59,28.1,-16.68,64.99,14.99
129,Mitu,21,CO,1579548431,53,1.2,-70.17,88.39,5.57
130,Saint-Augustin,0,CA,1579548432,71,51.23,-58.65,8.58,10.92
131,New Norfolk,75,AU,1579548432,71,-42.78,147.06,57.2,10.29
132,Boddam,7,GB,1579548432,86,57.47,-1.78,48.0,10.29
133,Bara,0,NG,1579548432,24,10.37,10.73,78.8,7.38
134,Chui,0,UY,1579548432,45,-33.7,-53.46,87.85,5.75
135,Yangi Marg`ilon,99,UZ,1579548432,74,40.43,71.72,30.2,4.7
136,Nome,90,US,1579548432,92,64.5,-165.41,12.2,16.11
137,Dolni Benesov,90,CZ,1579548432,86,49.92,18.11,36.0,2.24
138,Mocuba,100,MZ,1579548432,93,-16.84,36.99,74.84,3.71
139,Atar,0,MR,1579548432,10,20.52,-13.05,78.03,9.89
140,Risor,1,NO,1579548433,92,58.72,9.23,45.0,5.99
141,Houston,1,US,1579547831,22,29.76,-95.36,60.8,8.05
142,Mgandu,100,TZ,1579548433,95,-5.95,34.13,65.43,2.98
143,Zalalovo,50,HU,1579548433,92,46.85,16.59,36.0,3.36
144,Saint-Philippe,90,RE,1579548433,83,-21.36,55.77,80.6,2.24
145,Szczytno,40,PL,1579548433,85,53.56,20.99,33.8,11.41
146,Erzin,75,TR,1579548433,100,36.96,36.2,45.0,1.12
147,Karabulak,75,RU,1579548433,83,43.3,44.9,32.0,2.68
148,Kaitangata,100,NZ,1579548433,91,-46.28,169.85,54.84,8.01
149,Flinders,0,AU,1579548433,59,-34.58,150.86,66.99,13.87
150,Dunedin,100,NZ,1579548434,89,-45.87,170.5,59.0,3.0
151,Hilo,75,US,1579548265,60,19.73,-155.09,73.4,4.7
152,Ardesen,90,TR,1579548434,87,41.19,40.99,44.6,6.93
153,Barrow,90,US,1579548395,77,71.29,-156.79,-0.4,4.7
154,Vestmannaeyjar,100,IS,1579548434,67,63.44,-20.27,37.47,34.94
155,Jizan,15,SA,1579548434,69,17.33,42.67,80.6,14.99
156,Poum,2,NC,1579548434,78,-20.23,164.02,77.85,16.17
157,Byron Bay,84,AU,1579548144,94,-28.65,153.62,79.0,3.36
158,Lavrentiya,100,RU,1579548434,95,65.58,-171.0,5.81,7.07
159,Matagami,90,CA,1579548434,71,49.75,-77.63,5.0,11.41
160,Geraldton,90,AU,1579548434,73,-28.77,114.6,69.8,21.92
161,Falam,0,MM,1579548435,96,22.92,93.68,45.46,1.59
162,Los Llanos de Aridane,75,ES,1579548435,63,28.66,-17.92,64.4,17.22
163,Verkhnevilyuysk,36,RU,1579548435,95,63.45,120.32,-15.43,4.72
164,Totma,100,RU,1579548435,92,59.97,42.76,28.63,6.29
165,Trinidad,75,BO,1579548435,88,-14.83,-64.9,78.8,6.93
166,Qaanaaq,88,GL,1579548435,76,77.48,-69.36,-12.95,8.19
167,Tasiilaq,0,GL,1579548435,47,65.61,-37.64,14.0,17.22
168,Kamaishi,32,JP,1579548435,72,39.27,141.88,31.93,5.61
169,Nelson Bay,0,AU,1579548435,88,-32.72,152.15,71.01,4.7
170,Sorong,58,ID,1579548435,89,-0.88,131.25,74.01,3.94
171,Hamilton,75,US,1579548435,54,39.18,-84.53,28.4,3.36
172,Aasiaat,100,GL,1579548436,66,68.71,-52.87,7.93,16.64
173,Itanhandu,75,BR,1579548436,57,-22.3,-44.93,78.8,4.7
174,Toguchin,0,RU,1579548436,92,55.24,84.39,-13.4,8.99
175,Kumul,91,CN,1579548436,86,42.8,93.45,11.17,2.24
176,Saint George,1,US,1579548436,39,37.1,-113.58,52.0,4.7
177,Egvekinot,1,RU,1579548436,92,66.32,-179.17,-17.21,6.44
178,Mehamn,75,NO,1579548436,80,71.04,27.85,35.6,19.46
179,Sorland,75,NO,1579548436,80,67.67,12.69,41.0,12.75
180,Ponta Delgada,40,PT,1579548437,67,37.73,-25.67,59.0,14.99
181,Sawtell,90,AU,1579548437,78,-30.38,153.1,73.4,6.93
182,Avarua,100,CK,1579548437,88,-21.21,-159.78,80.6,12.75
183,Shimoda,0,JP,1579548437,72,34.67,138.95,39.99,1.01
184,Chifeng,16,CN,1579548437,58,42.27,118.96,11.66,8.01
185,Alofi,75,NU,1579548437,74,-19.06,-169.92,80.6,8.05
186,Kieta,69,PG,1579548437,74,-6.22,155.63,80.22,6.2
187,Paka,18,MY,1579548437,83,4.64,103.44,80.6,6.93
188,Boras,90,SE,1579548437,93,57.72,12.94,43.0,16.11
189,Progreso,90,MX,1579548437,78,21.28,-89.67,77.0,9.17
190,Novska,75,HR,1579548438,90,45.34,16.98,32.0,2.24
191,Paamiut,100,GL,1579548438,87,61.99,-49.67,22.44,24.05
192,Chokurdakh,100,RU,1579548438,97,70.63,147.92,-16.01,8.16
193,Huarmey,99,PE,1579548438,52,-10.07,-78.15,82.38,9.95
194,Mahebourg,40,MU,1579548438,83,-20.41,57.7,81.0,3.36
195,Yeniseysk,100,RU,1579548438,91,58.45,92.17,-3.73,8.39
196,Zhigalovo,67,RU,1579548438,98,54.81,105.16,-15.68,3.47
197,Mountmellick,75,IE,1579548438,86,53.11,-7.32,41.0,10.29
198,Lodwar,0,KE,1579548438,24,3.12,35.6,90.1,6.22
199,Kumbhraj,100,IN,1579548439,48,24.37,77.05,58.41,6.67
200,Kysyl-Syr,62,RU,1579548439,99,63.9,122.76,-22.43,5.46
201,Ciudad Lazaro Cardenas,0,MX,1579548439,44,17.96,-102.2,89.04,8.3
202,Saint-Louis,17,SN,1579548439,18,16.33,-15.0,87.8,2.24
203,Hvide Sande,8,DK,1579548439,87,56.0,8.13,46.0,12.75
204,Portland,90,US,1579548300,65,45.52,-122.68,48.0,10.29
205,Guatire,50,VE,1579548439,55,10.48,-66.54,80.01,5.01
206,Nhulunbuy,96,AU,1579548439,78,-12.23,136.77,80.6,5.82
207,Price,90,US,1579548440,68,39.6,-110.81,32.0,4.36
208,Opelika,1,US,1579548293,44,32.65,-85.38,44.6,8.05
209,Pangai,40,TO,1579548440,69,-19.8,-174.35,80.6,4.7
210,Killybegs,90,IE,1579548440,87,54.63,-8.45,48.2,18.34
211,Bryant,1,US,1579548426,35,34.6,-92.49,41.0,5.82
212,Krasnaya Polyana,99,RU,1579548440,97,56.24,51.14,27.05,4.38
213,Ponta do Sol,40,PT,1579548440,54,32.67,-17.1,59.0,13.87
214,Mokhsogollokh,27,RU,1579548440,95,61.47,128.92,-24.88,1.59
215,Khatanga,0,RU,1579548440,99,71.97,102.5,-32.71,3.27
216,Gibara,75,CU,1579548440,46,21.11,-76.13,89.6,3.36
217,Nautla,100,MX,1579548440,98,20.22,-96.78,58.19,4.41
218,Yukhnov,100,RU,1579548441,87,54.74,35.23,31.55,11.56
219,Tutoia,75,BR,1579548441,70,-2.76,-42.27,86.0,11.41
220,Eureka,1,US,1579548325,58,40.8,-124.16,57.0,3.09
221,Maniitsoq,100,GL,1579548441,74,65.42,-52.9,18.1,17.6
222,Sarkand,100,KZ,1579548441,96,45.41,79.92,23.47,3.71
223,Rocha,0,UY,1579548441,35,-34.48,-54.33,92.32,10.51
224,Sao Filipe,0,CV,1579548441,71,14.9,-24.5,72.54,12.35
225,Yeppoon,100,AU,1579548441,74,-23.13,150.73,82.4,5.82
226,Havre-Saint-Pierre,20,CA,1579548441,46,50.23,-63.6,8.6,6.93
227,Ilulissat,75,GL,1579548441,55,69.22,-51.1,8.6,29.97
228,Mount Gambier,75,AU,1579548442,93,-37.83,140.77,46.4,5.82
229,Porto-Novo,20,BJ,1579548442,66,6.5,2.6,84.2,8.05
230,Hailar,24,CN,1579548442,89,49.2,119.7,-11.25,8.08
231,Fortuna,1,US,1579548442,58,40.6,-124.16,57.0,4.12
232,Goderich,7,CA,1579548442,82,43.75,-81.72,28.0,8.01
233,Kiama,0,AU,1579548442,59,-34.68,150.87,66.99,13.87
234,Labuhan,99,ID,1579548442,89,-6.88,112.21,75.99,4.92
235,Braganca,70,BR,1579548442,91,-1.05,-46.77,79.97,6.6
236,Payo,100,ID,1579548442,99,-3.75,103.64,69.37,2.55
237,San Cristobal,40,VE,1579548442,49,7.77,-72.22,89.6,5.82
238,Clyde River,75,CA,1579548443,75,70.47,-68.59,-18.4,14.99
239,Port Moresby,53,PG,1579548443,79,-9.44,147.18,81.09,6.78
240,Puri,40,IN,1579548443,93,19.8,85.85,66.2,1.7
241,Gravdal,75,NO,1579548443,80,68.12,13.5,39.2,12.75
242,Shelburne,20,CA,1579548443,41,44.08,-80.2,23.0,9.17
243,Nsanje,100,MW,1579548443,98,-16.92,35.26,73.94,11.81
244,Tyret' Pervaya,98,RU,1579548443,86,53.67,102.31,-3.15,5.12
245,Tual,73,ID,1579548443,79,-5.67,132.75,83.52,17.63
246,Valdivia,34,CL,1579548443,47,-39.81,-73.25,78.8,6.93
247,Abu Kamal,31,SY,1579548443,70,34.45,40.92,53.02,7.74
248,Kosh-Agach,81,RU,1579548444,91,50.0,88.67,-14.03,0.47
249,Ati,0,TD,1579548444,16,13.22,18.34,77.65,10.22
250,Bonthe,70,SL,1579548444,70,7.53,-12.51,82.69,11.43
251,Laas,5,IT,1579548444,67,46.62,10.7,32.0,2.24
252,Guerrero Negro,23,MX,1579548447,33,27.98,-114.06,68.11,6.51
253,Kargopol,100,RU,1579548447,87,61.51,38.95,30.25,8.46
254,Darhan,99,MN,1579548447,97,49.49,105.92,-1.32,3.71
255,Palm Beach,75,US,1579548447,53,26.71,-80.04,75.99,12.75
256,Owando,79,CG,1579548447,60,-0.48,15.9,81.43,1.79
257,Dikson,21,RU,1579548447,96,73.51,80.55,-26.91,13.89
258,Fare,94,PF,1579548184,76,-16.7,-151.02,81.32,10.78
259,Barinas,64,VE,1579548448,49,8.62,-70.21,89.08,7.47
260,Shihezi,100,CN,1579548448,89,44.3,86.03,11.75,3.0
261,Bereda,40,ES,1579548448,61,43.27,-7.54,51.01,13.87
262,Avera,1,US,1579548448,38,33.19,-82.53,46.4,9.17
263,Bengkulu,100,ID,1579548448,91,-3.8,102.27,74.82,3.56
264,Bambous Virieux,40,MU,1579548448,83,-20.34,57.76,81.0,3.36
265,Bethel,1,US,1579548225,30,41.37,-73.41,32.0,14.99
266,Beringovskiy,68,RU,1579548448,99,63.05,179.32,-6.54,13.82
267,Sorokino,52,RU,1579548449,97,53.75,84.92,-14.08,4.99
268,Upernavik,90,GL,1579548449,62,72.79,-56.15,-6.2,7.49
269,Sur,0,OM,1579548449,67,22.57,59.53,67.91,7.83
270,Sao Goncalo dos Campos,0,BR,1579548449,38,-12.43,-38.97,92.5,12.26
271,Narsaq,75,GL,1579548449,53,60.92,-46.05,23.0,12.75
272,Tevaitoa,100,PF,1579548449,76,-16.78,-151.5,80.98,11.97
